"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"1221","造作材製造業（建具を除く）","主としてサッシ（窓，戸の枠），羽目板，入口，階段などの造作材を製造する事業所をいう。
標準材や面取り材を製造する事業所は小分類121［1211］に分類される。
"
"1222","合板製造業","主として単板（ベニヤ）をはり合わせた合板を製造する事業所をいう。
特殊合板を製造する事業所も本分類に含まれる。
"
"1223","集成材製造業","主としてひき板又は小角材等を厚さ，幅及び長さの方向に集成接着した一般材を製造する事業所をいう。
"
"1224","建築用木製組立材料製造業","主として木製組立建築材料を製造する事業所をいう。
"
"1225","パーティクルボード製造業","主としてパーティクルボード（削片板）を製造する事業所をいう。
"
"1226","繊維板製造業","主として木材その他のものから繊維板を製造する事業所をいう。
"
"1227","銘木製造業","主として床柱，磨き丸太など銘板，銘木を製造する事業所をいう。
"
"1228","床板製造業","主として床板を製造する事業所をいう。
"
"123","木製容器製造業（竹，とうを含む）",""
"1231","竹・とう・きりゅう等容器製造業","主として竹，とう，きりゅう，単板（ベニヤ）などから洗濯かご，衣料かご，バスケット，果物・野菜かご，卓上かご，その他の類似製品及び輸送用容器を製造する事業所をいう。
主として竹，とう，きりゅう製の家具を製造する事業所は中分類13［1311］に分類される。
"
"1232","木箱製造業","主として経木又は板物を材料として食物，菓子，詰物の折箱を製造する事業所，各種の木箱（くぎ付け，又は針金巻，あるいは接着剤で接着したもの）を製造する事業所をいう。
輸送用木製ドラム，通かん（函）を製造する事業所も本分類に含まれる。
"
"1233","たる・おけ製造業","主としてたる,おけを製造する事業所をいう。
たるの主な製品は，酒たる，しょう油たる，味そたる，漬物たるなどの和たるとビールたる，薬品たる，くぎたるなどの洋たるである。
おけの主な製品は，醸造用おけ，水おけ，たらい，ふろおけなどである。
主としてたる，おけ用材を製造する事業所は小分類121［1219］に分類される。
"
"129","その他の木製品製造業(竹，とうを含む)",""
"1291","木材薬品処理業","主として他の事業所で製材されたものをクレオソート，その他の薬品で防腐，耐火，防虫などの処理を行う事業所をいう。
主として木材の乾燥を行う事業所も本分類に含まれる。
"
"1292","コルク加工基礎資材・コルク製品製造業","主としてコルク加工基礎資材及びコルク製品を製造する事業所をいう。主な製品は，瓶の栓，絶縁用品，タイルなどである。
"
"1299","他に分類されない木製品製造業(竹，とうを含む)","主として材料のいかんを問わず，靴型，靴しん（芯）を製造する事業所，他に分類されない木製品の製造及び曲輪，曲物，曲木製品，種々の型物を製造する事業所及びとう，きりゅうなどの製品を製造する事業所をいう。
主として木，竹，とうづる，きりゅう製の家具を製造する事業所は中分類13［1311］に分類される。
"
"13","家具・装備品製造業","総　　　説
　この中分類には，家庭用及び事務用家具（和式及び洋式を含む），宗教用具，戸，障子，ふすま，日よけ，竹すだれなどを製造する事業所が分類される。
　ただし，漆塗り家具を製造する事業所は中分類32－その他の製造業［3271］に分類される。
　主として個人の注文により家具，建具を製造する事業所は大分類Ｉ－卸売業，小売業［601］に，また，家具類の改造，修理などを行う事業所は大分類Ｒ－サービス業（他に分類されないもの）［9091］に分類される。
"
"130","管理，補助的経済活動を行う事業所（13家具・装備品製造業）",""
"1300","主として管理事務を行う本社等","主として家具・装備品製造業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"1309","その他の管理，補助的経済活動を行う事業所","主として家具・装備品製造業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"131","家具製造業","主として家庭及び事務所で普通に使われる家具を製造する事業所をいう。
学校，集会所，図書館などに用いる家具，つい立，戸棚，ロッカー，輸送設備，研究室，病院，その他専門用のために特に考案された研究室用テーブルなどを製造する事業所も本分類に含まれる。
主として宗教用具を製造する事業所は小分類132［1321］に，漆塗り家具を製造する事業所は中分類32［3271］に，石製・プラスチック製家具を製造する事業所は小分類139［1399］に分類される。
"
